1,Colegiul Naţional de Informatică "Tudor Vianu",10.00,10.00,10.00
2,Școala Gimnazială nr. 195,10.00,10.00,10.00
3,Colegiul Naţional "Grigore Moisil",10.00,10.00,10.00
4,Şcoala Gimnazială nr. 117,10.00,10.00,10.00
5,Colegiul Naţional "Gheorghe Lazăr",10.00,10.00,10.00
6,Școala Gimnazială nr. 97,10.00,10.00,10.00
7,Școala Gimnazială nr. 79,10.00,10.00,10.00
8,Colegiul Naţional "Grigore Moisil",10.00,10.00,10.00
9,Școala Gimnazială nr. 97,10.00,10.00,10.00
10,Liceul Teoretic „Sfinții Trei Ierarhi",10.00,10.00,10.00
11,Liceul Teoretic Internațional de Informatică Bucuresti,10.00,10.00,10.00
12,Şcoala Gimnazială "Herăstrău",10.00,10.00,10.00
13,Colegiul Naţional de Informatică "Tudor Vianu",10.00,10.00,10.00
14,Liceul Teoretic "Jean Monnet",9.05,10.00,10.00
15,Școala Gimnazială nr. 195,10.00,9.95,9.97
16,Colegiul Naţional "Gheorghe Lazăr",9.95,10.00,9.97
17,Colegiul German "Goethe",10.00,9.90,9.96
18,Colegiul Național "Școala Centrală”,10.00,9.90,9.95
19,Școala Gimnazială nr. 97,10.00,9.90,9.95
20,Colegiul Naţional de Informatică "Tudor Vianu",9.90,10.00,9.95

41,Şcoala Gimnazială "I. G. Duca",9.85,10.00,9.92
42,Școala Gimnazială nr. 79,9.85,10.00,9.92
43,Şcoala Gimnazială "I. G. Duca",9.85,10.00,9.92
44,Liceul Teoretic Scoala Europeana Bucuresti,9.85,10.00,9.92
45,Liceul Internațional Ioanid,9.85,10.00,9.92
46,Liceul Teoretic "Nicolae Iorga",9.85,10.00,9.92
47,Liceul Teoretic Scoala Europeana Bucuresti,9.85,10.00,9.92
48,Școala Gimnazială nr. 97,9.40,10.00,9.92
49,Liceul Teoretic "Jean Monnet",9.20,10.00,9.92
50,Școala Gimnazială nr. 49,10.00,9.80,9.90
51,Școala Gimnazială nr. 195,10.00,9.80,9.90
52,Liceul Teoretic Internațional de Informatică Bucuresti,10.00,9.80,9.90
53,Şcoala Gimnazială nr. 194,10.00,9.70,9.90
54,Școala Gimnazială nr. 79,9.90,9.90,9.90
55,Școala Gimnazială nr. 79,9.90,9.90,9.90
56,Şcoala Gimnazială "I. G. Duca",9.90,9.90,9.90
57,Şcoala Gimnazială "Herăstrău",9.90,9.90,9.90
58,Colegiul Național ”Spiru Haret”,9.80,10.00,9.90
59,Şcoala Gimnazială nr. 179,9.80,10.00,9.90
60,Colegiul Naţional "Grigore Moisil",9.80,10.00,9.90
61,Liceul Teoretic "Ștefan Odobleja",9.80,10.00,9.90
62,Colegiul Național Bilingv ”George Coșbuc”,9.80,10.00,9.90
63,Școala Gimnazială nr. 49,9.80,10.00,9.90
64,Școala Gimnazială nr. 97,9.80,10.00,9.90
65,Școala Gimnazială "Maria Rosetti",9.80,10.00,9.90
66,Colegiul Național Bilingv ”George Coșbuc”,9.80,10.00,9.90
67,Colegiul Naţional "Grigore Moisil",9.80,10.00,9.90
68,Şcoala Gimnazială nr. 119,9.80,10.00,9.90
69,Şcoala Gimnazială nr. 280,9.80,10.00,9.90
70,Colegiul Național Bilingv ”George Coșbuc”,9.80,10.00,9.90
71,Școala Gimnazială nr. 97,9.80,10.00,9.90
72,Şcoala Gimnazială nr. 156,9.80,10.00,9.90
73,Liceul Teoretic Internațional de Informatică Bucuresti,9.80,10.00,9.90
74,Colegiul Naţional "Grigore Moisil",9.80,10.00,9.90
75,Colegiul Naţional de Informatică "Tudor Vianu",9.80,10.00,9.90
76,Colegiul Național ”Spiru Haret”,9.80,9.75,9.90
77,Școala Gimnazială "Nicolae Labiș",9.40,10.00,9.90
78,Școala Gimnazială nr. 97,9.40,10.00,9.90
79,Şcoala Gimnazială "Petre Ghelmez",9.40,10.00,9.90
80,Școala Gimnazială "Leonardo Da Vinci",9.30,10.00,9.90
81,Școala Gimnazială nr. 81,9.20,10.00,9.90
82,Școala Gimnazială nr. 49,10.00,9.75,9.87
83,Şcoala Gimnazială "I. G. Duca",10.00,9.75,9.87
84,Școala Gimnazială nr. 28,10.00,9.75,9.87
85,Şcoala Gimnazială "I. G. Duca",9.95,9.80,9.87
86,Liceul Teoretic Internațional de Informatică Bucuresti,9.90,9.85,9.87
87,Şcoala Gimnazială "Herăstrău",9.85,9.85,9.87
88,Şcoala Gimnazială "Constantin Brâncuşi",9.75,10.00,9.87
89,Şcoala Gimnazială nr. 309,9.75,10.00,9.87
90,Școala Gimnazială "Leonardo Da Vinci",9.75,10.00,9.87
91,Liceul Teoretic Internațional de Informatică Bucuresti,9.75,10.00,9.87
92,Școala Gimnazială "Maria Rosetti",9.75,10.00,9.87
93,Şcoala Gimnazială nr. 179,9.75,10.00,9.87
94,Școala Gimnazială „Regina Maria",9.75,10.00,9.87
95,Școala Gimnazială nr. 79,9.75,10.00,9.87
96,Școala Gimnazială ”Ferdinand I”,9.75,10.00,9.87
97,Şcoala Gimnazială "I. G. Duca",9.75,10.00,9.87
98,Liceul Teoretic "Nicolae Iorga",9.75,10.00,9.87
99,Şcoala Gimnazială "Sfântul Andrei",9.75,10.00,9.87
100,Colegiul Naţional "Elena Cuza",9.75,10.00,9.87
101,Liceul Pedagogic "Anastasia Popescu",9.75,9.80,9.87
102,Şcoala Gimnazială "Pia Brătianu",8.80,9.65,9.87
103,Colegiul Național "Școala Centrală”,10.00,9.70,9.85
104,Școala Gimnazială ”George Bacovia”,10.00,9.70,9.85
105,Școala Gimnazială „Regina Maria",10.00,9.70,9.85
106,Școala Gimnazială nr. 97,10.00,9.70,9.85
107,Şcoala Gimnazială nr. 5,10.00,9.70,9.85
108,Şcoala Gimnazială "Nicolae Titulescu",9.95,9.75,9.85
109,Colegiul Naţional "Gheorghe Lazăr",9.90,9.80,9.85
110,Școala Gimnazială nr. 49,9.80,9.90,9.85
111,Şcoala Gimnazială "Principesa Margareta",9.80,9.90,9.85
112,Școala Gimnazială "Avram Iancu",9.70,10.00,9.85
113,Şcoala Gimnazială "Constantin Brâncuşi",9.70,10.00,9.85
114,Colegiul Naţional "Grigore Moisil",9.70,10.00,9.85
